SourceName,RA,DEC,"RA, Dec",nH,nH [1E22 cm^-2 ],Source Region Radius [arcsec],Background Region Inner Radius [arcsec],Background Region Outer Radius [arcsec],Redshift [z],Absorption,Pipeline Obs Flux (0.3-10 keV),-1 Sigma,+1 Sigma,Pipeline Unabs Flux (0.3-10 keV) ,-1 Sigma,+1 Sigma
1H0323_96107,51.171,34.179,"51.171, 34.179",1.18E+21,0.118,"62.469""","135.904""","437.514""",0.0629,0.1462,1.18E-11,-5E-13,8E-13,1.77E-11,-8E-13,8.00000000000003E-13
1H1934_96108,294.387,-6.217,"294.387, -6.217",1.02E+21,0.102,"77.076""","129.615""","436.818""",0.0103,0.1433,5.75E-11,-3.1E-12,2.6E-12,9.18E-11,-4.00000000000001E-12,2.90000000000001E-12
3C120_96109,68.296,5.354,"68.296, 5.354",1.03E+21,0.103,"73.393""","138.077""","431.147""",0.033,0.1089,9.09E-11,-7.5E-12,6.3E-12,1.1E-10,-7E-12,8E-12
3C382_96110,278.766,32.696,"278.766, 32.696",6.25E+20,0.063,"74.392""","138.963""","428.174""",0.0556,0.0738,3.03E-11,-3.3E-12,2.5E-12,3.31E-11,-3.2E-12,2.79999999999999E-12
3C390_3_96111,280.537,79.771,"280.537, 79.771",3.70E+20,0.037,"75.866""","133.171""","437.969""",0.0561,0.0416,6.66E-11,-6.6E-12,7.4E-12,7.51E-11,-6.1E-12,6.60000000000001E-12
ARK120_96112,79.046,-0.15,"79.046, -0.15",9.97E+20,0.100,"74.708""","134.149""","433.873""",0.032,0.1186,4.92E-11,-2.1E-12,2.7E-12,6.59E-11,-2.7E-12,2.9E-12
ARK564_96113,340.664,29.726,"340.664, 29.726",4.93E+20,0.049,"72.891""","138.699""","428.288""",0.025,0.0638,3.44E-11,-1.4E-12,1.2E-12,4.85E-11,-1.5E-12,3.90000000000001E-12
MCG6-30-15_96114,203.973,-34.296,"203.973, -34.296",3.53E+20,0.035,"72.880""","143.931""","424.737""",0.057,0.0409,7.58E-11,-4.9E-12,6.7E-12,8.25E-11,-5.30000000000001E-12,6.6E-12
Mrk1018_96115,31.566,-0.291,"31.566, -0.291",2.52E+20,0.025,"36.610""","141.361""","429.226""",0.043,0.0259,1.82E-12,-3E-13,3.4E-13,1.95E-12,-2.6E-13,3E-13
MRK110_96116,141.304,52.287,"141.304, 52.287",1.27E+20,0.013,"70.258""","149.090""","436.924""",0.0353,0.0152,3.08E-11,-3.1E-12,3.3E-12,3.22E-11,-2.80000000000001E-12,3E-12
MRK279_96117,208.264,69.308,"208.264, 69.308",1.30E+20,0.013,"72.059""","137.334""","428.877""",0.0305,0.0182,3.01E-11,-2E-12,1.8E-12,3.11E-11,-1.8E-12,2.00000000000001E-12
Mrk335_96118,1.581,20.202,"1.581, 20.202",3.22E+20,0.032,"61.763""","141.931""","430.846""",0.025,0.0399,5.97E-12,-3E-13,3.5E-13,6.71E-12,-3.2E-13,3.7E-13
